Date,Food Type,Organization,Location,Mass (kg)
2025-09-02,Beef stew,Sodexo Corporate,Helsinki HQ,12.5
2025-09-02,Vegetable soup,Sodexo Daycare,Center A,8.0
2025-09-03,Grilled salmon,Unicafe,Kaisa Library,5.5
2025-09-03,Chicken curry,Sodexo Corporate,Helsinki HQ,10.0
2025-09-03,Pasta bolognese,Compass Group,Office Tower,15.0
2025-09-04,Pork schnitzel,Roasberg,Downtown,7.5
2025-09-04,Mixed salad,Unicafe,Exactum,12.0
2025-09-04,Rice pudding,Sodexo Daycare,Center B,4.0
2025-09-05,Fish and chips,Compass Group,Tech Campus,9.0
2025-09-05,Lentil stew,Unicafe,Physicum,6.5
2025-09-05,Beef lasagna,Sodexo Corporate,Helsinki HQ,18.0
2025-09-06,Vegetable curry,Roasberg,Downtown,8.5
2025-09-06,Grilled chicken,Compass Group,Office Tower,11.0
2025-09-06,Mushroom risotto,Unicafe,Kaisa Library,7.0
2025-09-07,Pork roast,Sodexo Corporate,Helsinki HQ,14.0

